date,value
1880-03-15,41.30000000000001
1881-03-15,46.900000000000006
1882-03-15,30.099999999999994
1883-03-15,35.400000000000006
1884-03-15,56.30000000000001
1885-03-15,54.80000000000001
1886-03-15,52.400000000000006
1887-03-15,46.80000000000001
1888-03-15,48.900000000000006
1889-03-15,50.5
1890-03-15,52.5
1891-03-15,50.80000000000001
1892-03-15,54.0
1893-03-15,58.69999999999999
1894-03-15,49.0
1895-03-15,60.80000000000001
1896-03-15,53.19999999999999
1897-03-15,58.400000000000006
1898-03-15,67.80000000000001
1899-03-15,75.3
1900-03-15,69.9
1901-03-15,69.5
1902-03-15,74.1
1903-03-15,82.1
1904-03-15,71.80000000000001
1905-03-15,66.30000000000001
1906-03-15,73.1
1907-03-15,71.69999999999999
1908-03-15,69.19999999999999
1909-03-15,73.7
1910-03-15,73.6
1911-03-15,81.9
1912-03-15,78.8
1913-03-15,80.6
1914-03-15,86.9
1915-03-15,94.8
1916-03-15,92.9
1917-03-15,88.4
1918-03-15,86.8
1919-03-15,88.4
1920-03-15,89.7
1921-03-15,91.8
1922-03-15,90.9
1923-03-15,92.1
1924-03-15,84.8
1925-03-15,86.8
1926-03-15,93.3
1927-03-15,92.2
1928-03-15,88.3
1929-03-15,89.7
1930-03-15,93.7
1931-03-15,93.3
1932-03-15,99.0
1933-03-15,103.3
1934-03-15,97.9
1935-03-15,103.5
1936-03-15,99.6
1937-03-15,105.3
1938-03-15,107.9
1939-03-15,113.1
1940-03-15,107.8
1941-03-15,120.0
1942-03-15,120.0
1943-03-15,120.0
1944-03-15,113.6
1945-03-15,116.4
1946-03-15,123.9
1947-03-15,127.0
1948-03-15,131.8
1949-03-15,130.5
1950-03-15,132.7
1951-03-15,142.2
1952-03-15,139.6
1953-03-15,144.0
1954-03-15,141.1
1955-03-15,142.0
1956-03-15,136.9
1957-03-15,150.3
1958-03-15,151.7
1959-03-15,152.0
1960-03-15,155.7
1961-03-15,161.9
1962-03-15,156.7
1963-03-15,155.1
1964-03-15,147.2
1965-03-15,158.4
1966-03-15,153.0
1967-03-15,154.4
1968-03-15,155.2
1969-03-15,162.0
1970-03-15,160.1
1971-03-15,165.3
1972-03-15,174.4
1973-03-15,168.4
1974-03-15,180.3
1975-03-15,178.7
1976-03-15,177.7
1977-03-15,176.0
1978-03-15,182.4
1979-03-15,177.5
1980-03-15,183.5
1981-03-15,195.9
1982-03-15,190.1
1983-03-15,198.5
1984-03-15,197.6
1985-03-15,187.3
1986-03-15,187.9
1987-03-15,188.5
1988-03-15,193.2
1989-03-15,197.7
1990-03-15,200.0
1991-03-15,202.5
1992-03-15,203.2
1993-03-15,201.4
1994-03-15,206.6
1995-03-15,209.5
1996-03-15,213.6
1997-03-15,220.6
1998-03-15,210.7
1999-03-15,219.2
2000-03-15,220.5
2001-03-15,226.0
2002-03-15,228.4
2003-03-15,237.6
2004-03-15,237.2
2005-03-15,237.3
2006-03-15,241.6
2007-03-15,243.5
2008-03-15,252.2
2009-03-15,258.0
2010-03-15,265.7
2011-03-15,267.3
2012-03-15,276.1
2013-03-15,267.7
