Year,Country,Total,Solid Fuel,Liquid Fuel,Gas Fuel,Cement,Gas Flaring,Per Capita,Bunker fuels (Not in Total)

2014,ARGENTINA,55638,1588,25685,26368,1551,446,1.29,2079
2014,AUSTRALIA,98517,44558,32778,19800,1224,157,4.17,3754
2014,BRAZIL,144480,20089,92454,21297,9691,949,0.7,4895
2014,CANADA,146494,20667,67717,55436,1616,1059,4.12,914
2014,CHINA (MAINLAND),2806634,2026492,344725,96504,338912,0,2.05,12066
2014,EGYPT,55057,408,22480,25505,6664,0,0.61,1942
2014,FRANCE (INCLUDING MONACO),82704,9419,50615,20358,2312,0,1.29,6306
2014,GERMANY,196314,84098,68263,39582,4365,5,2.43,8706
2014,ICELAND,541,90,451,0,0,0,1.65,171
2014,INDIA,610411,407077,140199,25278,37400,457,0.47,4396
2014,INDONESIA,126582,33370,63677,17035,7888,4612,0.5,1356
2014,ITALY (INCLUDING SAN MARINO),87377,13532,39265,31670,2910,0,1.46,4265
2014,JAPAN,331074,122461,133395,67342,7876,0,2.61,8123
2014,KAZAKHSTAN,67716,38375,8819,19438,1085,0,3.9,193
2014,MALAYSIA,66218,15793,24442,21399,2992,1591,2.21,2271
2014,MEXICO,130971,13358,73374,37801,4760,1678,1.04,3300
2014,MYANMAR (FORMERLY BURMA),5899,390,4008,1318,179,4,0.11,34
2014,NETHERLANDS,45624,9070,18272,18010,272,0,2.7,14210
2014,NEW ZEALAND,9453,1505,5014,2744,150,39,2.1,918
2014,NIGERIA,26256,33,8830,9035,2720,5637,0.15,581
2014,NORWAY,12988,879,8542,3085,231,251,2.52,545
2014,PERU,16838,780,7089,4512,1452,3005,0.54,681
2014,PHILIPPINES,28812,11662,12224,1934,2992,0,0.29,980
2014,POLAND,77922,52194,15261,8372,2089,6,2.02,613
2014,PORTUGAL,12286,2761,6608,2169,748,0,1.18,1359
2014,QATAR,29412,0,1499,26725,816,372,13.54,1072
2014,REPUBLIC OF KOREA,160119,84161,42616,26942,6399,0,3.2,10570
2014,RUSSIAN FEDERATION,465052,110403,107368,232204,9322,5755,3.24,17585
2014,SAUDI ARABIA,163907,0,112689,43430,7782,5,5.31,4718
2014,SINGAPORE,15373,456,9118,5800,0,0,2.79,42028
2014,SOUTH AFRICA,133562,113068,16448,2404,1642,0,2.47,2945
2014,SPAIN,63806,11852,35189,14781,1984,0,1.38,9892
2014,SWEDEN,11841,2183,8822,496,340,0,1.22,2107
2014,SWITZERLAND,9628,148,7230,1668,583,0,1.17,1312
2014,TAIWAN,72013,42516,18985,8526,1985,0,3.08,3046
2014,THAILAND,86232,16612,41230,23633,4757,0,1.27,3980
2014,TURKEY,94350,37875,21662,25111,9701,0,1.22,3054
2014,UKRAINE,61985,31649,8151,20874,1310,0,1.38,109
2014,UNITED ARAB EMIRATES,57641,2157,17922,34852,2176,534,6.34,17317
2014,UNITED KINGDOM,114486,31081,44274,37340,1218,573,1.78,10921
2014,UNITED STATES OF AMERICA,1432855,450047,576531,390719,11314,4244,4.43,30722
2014,VENEZUELA,50510,204,28445,12731,1088,8042,1.65,1256
